Target Distance:	1000, Step Size: 20
1340: (x,y) = (-330.139, 114.675)
1341: (x,y) = (-348.549, 122.489)
1342: (x,y) = (-330.006, 114.997)
1343: (x,y) = (-335.182, 134.316)
1344: (x,y) = (-316.161, 128.135)
1345: (x,y) = (-333.653, 137.832)
1346: (x,y) = (-313.681, 136.785)
1347: (x,y) = (-323.681, 119.464)
1348: (x,y) = (-309.539, 133.606)
1349: (x,y) = (-308.492, 153.579)
1350: (x,y) = (-324.672, 165.335)
1351: (x,y) = (-309.578, 152.214)
1352: (x,y) = (-329.566, 152.912)
1353: (x,y) = (-309.76, 150.128)
1354: (x,y) = (-322.347, 165.671)
1355: (x,y) = (-304.527, 174.751)
1356: (x,y) = (-299.688, 155.345)
1357: (x,y) = (-280.463, 160.858)
1358: (x,y) = (-287.303, 142.064)
1359: (x,y) = (-284.52, 161.869)
1360: (x,y) = (-304.216, 165.342)
1361: (x,y) = (-300.743, 185.038)
1362: (x,y) = (-282.617, 193.491)
1363: (x,y) = (-262.62, 193.142)
1364: (x,y) = (-270.112, 174.598)
1365: (x,y) = (-266.984, 154.844)
1366: (x,y) = (-269.421, 134.993)
1367: (x,y) = (-268.374, 115.021)
1368: (x,y) = (-253.053, 102.165)
1369: (x,y) = (-262.749, 84.6725)
1370: (x,y) = (-276.132, 69.8096)
1371: (x,y) = (-269.952, 50.7884)
1372: (x,y) = (-253.771, 62.5441)
1373: (x,y) = (-273.259, 67.0432)
1374: (x,y) = (-264.179, 49.223)
1375: (x,y) = (-248.858, 62.0788)
1376: (x,y) = (-257.31, 80.2049)
1377: (x,y) = (-244.455, 64.8841)
1378: (x,y) = (-262.865, 72.6987)
1379: (x,y) = (-282.789, 70.9556)
1380: (x,y) = (-277.612, 90.2741)
1381: (x,y) = (-281.085, 70.5779)
1382: (x,y) = (-299.356, 62.4432)
1383: (x,y) = (-319.207, 64.8806)
1384: (x,y) = (-317.812, 84.8319)
1385: (x,y) = (-336.606, 77.9915)
1386: (x,y) = (-326.606, 60.6709)
1387: (x,y) = (-335.373, 42.6951)
1388: (x,y) = (-353.032, 52.0845)
1389: (x,y) = (-334.489, 44.5924)
1390: (x,y) = (-315.083, 39.7539)
1391: (x,y) = (-297.59, 49.4501)
1392: (x,y) = (-286.406, 66.0309)
1393: (x,y) = (-271.779, 79.6708)
1394: (x,y) = (-290.905, 73.8234)
1395: (x,y) = (-292.301, 93.7747)
1396: (x,y) = (-272.668, 89.9585)
1397: (x,y) = (-292.074, 94.7969)
1398: (x,y) = (-276.98, 107.918)
1399: (x,y) = (-286.06, 125.738)
1400: (x,y) = (-276.363, 108.246)
1401: (x,y) = (-295.769, 113.084)
1402: (x,y) = (-305.769, 130.405)
1403: (x,y) = (-302.296, 150.101)
1404: (x,y) = (-291.996, 132.958)
1405: (x,y) = (-310.539, 125.465)
1406: (x,y) = (-300.238, 142.609)
1407: (x,y) = (-284.478, 130.296)
1408: (x,y) = (-268.095, 118.824)
1409: (x,y) = (-248.244, 121.261)
1410: (x,y) = (-255.412, 139.933)
1411: (x,y) = (-236.093, 145.109)
1412: (x,y) = (-233.31, 164.915)
1413: (x,y) = (-246.95, 179.542)
1414: (x,y) = (-265.971, 173.362)
1415: (x,y) = (-256.581, 155.703)
1416: (x,y) = (-243.726, 171.023)
1417: (x,y) = (-258.82, 157.902)
1418: (x,y) = (-264.332, 177.128)
1419: (x,y) = (-267.805, 196.824)
1420: (x,y) = (-269.896, 216.714)
1421: (x,y) = (-284.038, 202.572)
1422: (x,y) = (-272.282, 186.392)
1423: (x,y) = (-268.809, 206.088)
1424: (x,y) = (-283.437, 192.448)
1425: (x,y) = (-265.778, 201.837)
1426: (x,y) = (-247.802, 193.07)
1427: (x,y) = (-256.254, 174.944)
1428: (x,y) = (-242.871, 189.807)
1429: (x,y) = (-243.221, 209.804)
1430: (x,y) = (-238.044, 190.485)
1431: (x,y) = (-225.731, 206.245)
1432: (x,y) = (-225.033, 186.257)
1433: (x,y) = (-206.239, 179.417)
1434: (x,y) = (-213.079, 160.623)
1435: (x,y) = (-233.067, 161.321)
1436: (x,y) = (-252.763, 157.848)
1437: (x,y) = (-232.873, 159.939)
1438: (x,y) = (-237.031, 140.376)
1439: (x,y) = (-218.76, 148.511)
1440: (x,y) = (-231.882, 163.605)
1441: (x,y) = (-227.723, 144.042)
1442: (x,y) = (-221.212, 125.131)
1443: (x,y) = (-239.032, 134.211)
1444: (x,y) = (-257.442, 126.397)
1445: (x,y) = (-261.941, 106.909)
1446: (x,y) = (-280.485, 114.401)
1447: (x,y) = (-299.71, 119.914)
1448: (x,y) = (-300.059, 139.911)
1449: (x,y) = (-318.035, 131.144)
1450: (x,y) = (-301.855, 142.899)
1451: (x,y) = (-320.265, 135.085)
1452: (x,y) = (-300.702, 139.243)
1453: (x,y) = (-315.796, 126.122)
1454: (x,y) = (-335.492, 129.595)
1455: (x,y) = (-320.865, 143.235)
1456: (x,y) = (-307.225, 157.862)
1457: (x,y) = (-289.733, 148.166)
1458: (x,y) = (-309.051, 153.342)
1459: (x,y) = (-310.098, 173.315)
1460: (x,y) = (-290.101, 173.664)
1461: (x,y) = (-309.664, 177.822)
1462: (x,y) = (-324.985, 164.966)
1463: (x,y) = (-336.169, 181.547)
1464: (x,y) = (-316.363, 178.763)
1465: (x,y) = (-298.543, 187.843)
1466: (x,y) = (-315.504, 177.245)
1467: (x,y) = (-322.996, 158.701)
1468: (x,y) = (-314.862, 140.43)
1469: (x,y) = (-330.182, 127.574)
1470: (x,y) = (-315.555, 113.934)
1471: (x,y) = (-304.957, 130.895)
1472: (x,y) = (-313.092, 112.625)
1473: (x,y) = (-293.867, 107.112)
1474: (x,y) = (-294.913, 127.084)
1475: (x,y) = (-313.824, 133.596)
1476: (x,y) = (-333.142, 138.772)
1477: (x,y) = (-326.962, 119.751)
1478: (x,y) = (-314.649, 103.991)
1479: (x,y) = (-304.649, 121.311)
1480: (x,y) = (-285.855, 128.152)
1481: (x,y) = (-268.362, 118.455)
1482: (x,y) = (-278.362, 101.135)
1483: (x,y) = (-259.952, 93.3204)
1484: (x,y) = (-265.8, 112.446)
1485: (x,y) = (-246.779, 106.266)
1486: (x,y) = (-266.766, 106.964)
1487: (x,y) = (-285.31, 114.456)
1488: (x,y) = (-299.452, 128.598)
1489: (x,y) = (-318.363, 135.11)
1490: (x,y) = (-338.314, 136.505)
1491: (x,y) = (-346.449, 118.234)
1492: (x,y) = (-348.192, 138.158)
1493: (x,y) = (-333.805, 124.265)
1494: (x,y) = (-314.242, 128.423)
1495: (x,y) = (-325.998, 144.603)
1496: (x,y) = (-311.371, 158.243)
1497: (x,y) = (-307.554, 138.611)
1498: (x,y) = (-288.883, 145.778)
1499: (x,y) = (-307.677, 138.938)
1500: (x,y) = (-303.518, 158.501)
1501: (x,y) = (-316.901, 143.638)
1502: (x,y) = (-332.222, 130.782)
1503: (x,y) = (-312.371, 133.219)
1504: (x,y) = (-300.615, 149.4)
1505: (x,y) = (-310.615, 166.72)
1506: (x,y) = (-291.594, 172.901)
1507: (x,y) = (-300.046, 154.774)
1508: (x,y) = (-280.05, 155.123)
1509: (x,y) = (-265.422, 168.763)
1510: (x,y) = (-248.461, 179.362)
1511: (x,y) = (-231.141, 169.362)
1512: (x,y) = (-236.988, 188.488)
1513: (x,y) = (-217.016, 187.441)
1514: (x,y) = (-234.836, 178.361)
1515: (x,y) = (-254.726, 180.452)
1516: (x,y) = (-274.577, 182.889)
1517: (x,y) = (-262.541, 198.862)
1518: (x,y) = (-254.406, 217.133)
1519: (x,y) = (-243.222, 233.714)
1520: (x,y) = (-250.715, 252.257)
1521: (x,y) = (-267.858, 262.558)
1522: (x,y) = (-287.421, 266.716)
1523: (x,y) = (-301.563, 280.858)
1524: (x,y) = (-316.426, 294.241)
1525: (x,y) = (-326.727, 277.098)
1526: (x,y) = (-310.966, 289.411)
1527: (x,y) = (-312.362, 269.46)
1528: (x,y) = (-295.401, 280.058)
1529: (x,y) = (-278.44, 269.46)
1530: (x,y) = (-266.126, 285.22)
1531: (x,y) = (-285.445, 280.043)
1532: (x,y) = (-266.773, 287.211)
1533: (x,y) = (-259.281, 268.667)
1534: (x,y) = (-278.914, 264.851)
1535: (x,y) = (-288.61, 247.359)
1536: (x,y) = (-307.631, 253.539)
1537: (x,y) = (-321.524, 239.152)
1538: (x,y) = (-329.016, 220.608)
1539: (x,y) = (-346.337, 230.608)
1540: (x,y) = (-330.794, 243.195)
1541: (x,y) = (-342.83, 227.222)
1542: (x,y) = (-322.94, 225.132)
1543: (x,y) = (-304.964, 216.364)
1544: (x,y) = (-291.581, 231.227)
1545: (x,y) = (-286.405, 250.546)
1546: (x,y) = (-306.037, 254.362)
1547: (x,y) = (-286.284, 257.49)
1548: (x,y) = (-274.247, 241.518)
1549: (x,y) = (-261.126, 256.612)
1550: (x,y) = (-277.707, 267.796)
1551: (x,y) = (-290.828, 282.89)
1552: (x,y) = (-296.005, 302.209)
1553: (x,y) = (-314.798, 295.368)
1554: (x,y) = (-295.888, 288.857)
1555: (x,y) = (-314.909, 295.037)
1556: (x,y) = (-318.382, 275.341)
1557: (x,y) = (-334.142, 263.028)
1558: (x,y) = (-353.163, 269.208)
1559: (x,y) = (-360.331, 287.88)
1560: (x,y) = (-356.858, 307.576)
1561: (x,y) = (-368.894, 323.549)
1562: (x,y) = (-349.984, 330.06)
1563: (x,y) = (-336.344, 315.433)
1564: (x,y) = (-355.569, 309.92)
1565: (x,y) = (-359.727, 329.483)
1566: (x,y) = (-356.944, 309.678)
1567: (x,y) = (-366.333, 327.337)
1568: (x,y) = (-383.477, 317.036)
1569: (x,y) = (-398.104, 303.396)
1570: (x,y) = (-400.541, 283.545)
1571: (x,y) = (-415.862, 270.689)
1572: (x,y) = (-434.883, 264.509)
1573: (x,y) = (-425.187, 247.016)
1574: (x,y) = (-406.515, 239.849)
1575: (x,y) = (-419.102, 224.306)
1576: (x,y) = (-399.539, 228.464)
1577: (x,y) = (-382.958, 217.281)
1578: (x,y) = (-363.639, 222.457)
1579: (x,y) = (-351.053, 238)
1580: (x,y) = (-371.05, 237.651)
1581: (x,y) = (-384.171, 252.745)
1582: (x,y) = (-393.561, 235.086)
1583: (x,y) = (-410.704, 245.387)
1584: (x,y) = (-390.731, 246.434)
1585: (x,y) = (-406.912, 234.678)
1586: (x,y) = (-425.706, 227.837)
1587: (x,y) = (-423.268, 207.986)
1588: (x,y) = (-442.964, 211.459)
1589: (x,y) = (-435.472, 192.916)
1590: (x,y) = (-448.059, 208.459)
1591: (x,y) = (-434.419, 223.086)
1592: (x,y) = (-421.563, 238.407)
1593: (x,y) = (-403.437, 229.954)
1594: (x,y) = (-385.311, 238.407)
1595: (x,y) = (-401.891, 249.591)
1596: (x,y) = (-410.971, 231.77)
1597: (x,y) = (-407.155, 212.138)
1598: (x,y) = (-392.061, 225.259)
1599: (x,y) = (-412.033, 224.212)
1600: (x,y) = (-393.762, 216.078)
1601: (x,y) = (-374.741, 209.897)
1602: (x,y) = (-359.647, 196.776)
1603: (x,y) = (-339.659, 196.078)
1604: (x,y) = (-320.638, 189.898)
1605: (x,y) = (-340.271, 186.082)
1606: (x,y) = (-320.517, 189.21)
1607: (x,y) = (-328.652, 170.939)
1608: (x,y) = (-322.804, 151.813)
1609: (x,y) = (-336.187, 166.676)
1610: (x,y) = (-327.107, 184.496)
1611: (x,y) = (-309.448, 193.886)
1612: (x,y) = (-326.029, 205.07)
1613: (x,y) = (-330.528, 185.582)
1614: (x,y) = (-310.637, 183.492)
1615: (x,y) = (-292.511, 175.039)
1616: (x,y) = (-311.917, 179.878)
1617: (x,y) = (-305.406, 198.788)
1618: (x,y) = (-285.409, 198.439)
1619: (x,y) = (-268.266, 188.138)
1620: (x,y) = (-276.08, 169.728)
1621: (x,y) = (-258.26, 160.648)
1622: (x,y) = (-274.233, 148.612)
1623: (x,y) = (-291.892, 158.001)
1624: (x,y) = (-280.999, 141.228)
1625: (x,y) = (-298.491, 150.924)
1626: (x,y) = (-315.072, 139.74)
1627: (x,y) = (-309.896, 120.422)
1628: (x,y) = (-322.482, 135.965)
1629: (x,y) = (-338.025, 148.551)
1630: (x,y) = (-322.704, 135.695)
1631: (x,y) = (-310.391, 119.935)
1632: (x,y) = (-302.256, 138.206)
1633: (x,y) = (-309.423, 156.878)
1634: (x,y) = (-292.463, 146.279)
1635: (x,y) = (-272.572, 148.37)
1636: (x,y) = (-271.525, 128.397)
1637: (x,y) = (-262.446, 146.217)
1638: (x,y) = (-247.583, 132.835)
1639: (x,y) = (-229.924, 123.445)
1640: (x,y) = (-247.583, 114.056)
1641: (x,y) = (-234.461, 98.9618)
1642: (x,y) = (-235.508, 78.9892)
1643: (x,y) = (-225.508, 61.6687)
1644: (x,y) = (-236.401, 78.4421)
1645: (x,y) = (-255.422, 72.2618)
1646: (x,y) = (-235.726, 75.7347)
1647: (x,y) = (-245.422, 58.2423)
1648: (x,y) = (-226.296, 64.0898)
1649: (x,y) = (-206.372, 65.8329)
1650: (x,y) = (-191.985, 79.726)
1651: (x,y) = (-180.23, 95.9064)
1652: (x,y) = (-179.881, 115.903)
1653: (x,y) = (-164.12, 128.217)
1654: (x,y) = (-175.304, 111.636)
1655: (x,y) = (-181.816, 92.7254)
1656: (x,y) = (-192.116, 75.5821)
1657: (x,y) = (-209.937, 66.5023)
1658: (x,y) = (-190.915, 72.6826)
1659: (x,y) = (-206.01, 85.8038)
1660: (x,y) = (-207.405, 105.755)
1661: (x,y) = (-208.451, 85.7825)
1662: (x,y) = (-189.658, 92.6229)
1663: (x,y) = (-196.169, 111.533)
1664: (x,y) = (-206.169, 128.854)
1665: (x,y) = (-211.682, 148.079)
1666: (x,y) = (-221.071, 130.42)
1667: (x,y) = (-214.231, 111.626)
1668: (x,y) = (-217.704, 131.322)
1669: (x,y) = (-234.847, 121.022)
1670: (x,y) = (-239.685, 101.616)
1671: (x,y) = (-258.229, 109.108)
1672: (x,y) = (-241.268, 98.5094)
1673: (x,y) = (-249.083, 80.0993)
1674: (x,y) = (-245.267, 60.4668)
1675: (x,y) = (-227.446, 69.5466)
1676: (x,y) = (-208.32, 63.6992)
1677: (x,y) = (-213.497, 44.3806)
1678: (x,y) = (-193.801, 47.8536)
1679: (x,y) = (-205.556, 31.6733)
1680: (x,y) = (-224.782, 37.186)
1681: (x,y) = (-237.095, 21.4258)
1682: (x,y) = (-226.496, 4.46484)
1683: (x,y) = (-246.347, 2.02746)
1684: (x,y) = (-235.163, -14.5533)
1685: (x,y) = (-220.301, -27.9359)
1686: (x,y) = (-239.864, -32.0941)
1687: (x,y) = (-256.044, -43.8498)
1688: (x,y) = (-255.695, -23.8529)
1689: (x,y) = (-242.055, -9.22582)
1690: (x,y) = (-222.131, -7.4827)
1691: (x,y) = (-220.04, 12.4077)
1692: (x,y) = (-200.068, 13.4545)
1693: (x,y) = (-186.175, -0.932343)
1694: (x,y) = (-178.36, 17.4778)
1695: (x,y) = (-159.95, 9.66313)
1696: (x,y) = (-150.254, -7.82926)
1697: (x,y) = (-169.817, -11.9875)
1698: (x,y) = (-155.675, 2.15464)
1699: (x,y) = (-153.237, 22.0056)
1700: (x,y) = (-162.627, 4.34661)
1701: (x,y) = (-143.5, 10.194)
1702: (x,y) = (-151.315, 28.6041)
1703: (x,y) = (-170.225, 22.0928)
1704: (x,y) = (-186.806, 10.9089)
1705: (x,y) = (-166.916, 8.81835)
1706: (x,y) = (-183.689, 19.7111)
1707: (x,y) = (-188.866, 39.0296)
1708: (x,y) = (-194.042, 19.7111)
1709: (x,y) = (-213.738, 16.2382)
1710: (x,y) = (-201.702, 0.265458)
1711: (x,y) = (-185.521, 12.0212)
1712: (x,y) = (-184.475, -7.95143)
1713: (x,y) = (-191.315, -26.7453)
1714: (x,y) = (-176.928, -12.8521)
1715: (x,y) = (-181.087, -32.4151)
1716: (x,y) = (-163.594, -22.7189)
1717: (x,y) = (-170.106, -3.8085)
1718: (x,y) = (-164.258, -22.9346)
1719: (x,y) = (-146.938, -12.9346)
1720: (x,y) = (-157.83, -29.708)
1721: (x,y) = (-151.65, -48.7291)
1722: (x,y) = (-142.883, -30.7533)
1723: (x,y) = (-129.5, -15.8904)
1724: (x,y) = (-111.229, -24.0251)
1725: (x,y) = (-122.122, -7.25168)
1726: (x,y) = (-136.015, 7.13511)
1727: (x,y) = (-121.152, 20.5177)
1728: (x,y) = (-134.008, 35.8386)
1729: (x,y) = (-152.802, 28.9982)
1730: (x,y) = (-163.103, 46.1416)
1731: (x,y) = (-147.56, 33.5552)
1732: (x,y) = (-130.599, 22.9568)
1733: (x,y) = (-143.72, 38.051)
1734: (x,y) = (-130.08, 52.678)
1735: (x,y) = (-127.296, 32.8727)
1736: (x,y) = (-115.26, 16.9)
1737: (x,y) = (-95.2723, 17.5979)
1738: (x,y) = (-86.5049, -0.377932)
1739: (x,y) = (-104.631, -8.8303)
1740: (x,y) = (-85.1436, -13.3293)
1741: (x,y) = (-89.3019, -32.8923)
1742: (x,y) = (-73.3291, -44.9286)
1743: (x,y) = (-93.1801, -42.4912)
1744: (x,y) = (-104.652, -26.1081)
1745: (x,y) = (-114.041, -43.7671)
1746: (x,y) = (-98.7201, -30.9113)
1747: (x,y) = (-92.8727, -11.7852)
1748: (x,y) = (-105.186, 3.97497)
1749: (x,y) = (-89.0056, -7.78074)
1750: (x,y) = (-94.182, -27.0993)
1751: (x,y) = (-95.9251, -7.17536)
1752: (x,y) = (-91.0867, 12.2306)
1753: (x,y) = (-90.7376, 32.2275)
1754: (x,y) = (-87.6089, 51.9813)
1755: (x,y) = (-105.429, 42.9015)
1756: (x,y) = (-116.613, 59.4822)
1757: (x,y) = (-104.3, 75.2424)
1758: (x,y) = (-116.055, 91.4228)
1759: (x,y) = (-133.376, 101.423)
1760: (x,y) = (-113.485, 103.513)
1761: (x,y) = (-94.9418, 96.0212)
1762: (x,y) = (-114.348, 100.86)
1763: (x,y) = (-96.6887, 110.249)
1764: (x,y) = (-85.2172, 93.866)
1765: (x,y) = (-78.7058, 74.9557)
1766: (x,y) = (-66.3926, 90.7159)
1767: (x,y) = (-57.0032, 73.0569)
1768: (x,y) = (-50.1628, 91.8508)
1769: (x,y) = (-39.5644, 74.8898)
1770: (x,y) = (-47.0565, 93.4335)
1771: (x,y) = (-43.5836, 73.7373)
1772: (x,y) = (-31.8279, 57.557)
1773: (x,y) = (-50.238, 49.7424)
1774: (x,y) = (-48.1474, 69.6328)
1775: (x,y) = (-66.6911, 77.1249)
1776: (x,y) = (-46.7672, 75.3818)
1777: (x,y) = (-33.646, 90.476)
1778: (x,y) = (-13.7951, 88.0386)
1779: (x,y) = (-2.90228, 104.812)
1780: (x,y) = (15.3686, 96.6773)
1781: (x,y) = (3.61292, 80.497)
1782: (x,y) = (21.5888, 89.2644)
1783: (x,y) = (1.61621, 90.3111)
1784: (x,y) = (-11.2395, 74.9902)
1785: (x,y) = (5.1435, 86.4618)
1786: (x,y) = (24.2696, 92.3092)
1787: (x,y) = (28.0858, 72.6766)
1788: (x,y) = (23.2473, 92.0826)
1789: (x,y) = (26.376, 72.3288)
1790: (x,y) = (6.74348, 76.145)
1791: (x,y) = (-9.83727, 64.9611)
1792: (x,y) = (-3.32591, 83.8715)
1793: (x,y) = (8.14562, 100.255)
1794: (x,y) = (5.01693, 80.5008)
1795: (x,y) = (12.1843, 61.8292)
1796: (x,y) = (24.7707, 77.3721)
1797: (x,y) = (43.8968, 83.2195)
1798: (x,y) = (63.6506, 80.0908)
1799: (x,y) = (54.8831, 62.1149)
1800: (x,y) = (34.9319, 60.7198)
1801: (x,y) = (24.6311, 43.5765)
1802: (x,y) = (21.5024, 63.3302)
1803: (x,y) = (1.61197, 61.2397)
1804: (x,y) = (-15.5314, 71.5404)
1805: (x,y) = (-14.1362, 51.5891)
1806: (x,y) = (-32.4072, 59.7239)
1807: (x,y) = (-17.313, 46.6027)
1808: (x,y) = (-19.0561, 26.6788)
1809: (x,y) = (-38.0772, 20.4985)
1810: (x,y) = (-18.7587, 25.6748)
1811: (x,y) = (-36.7346, 34.4423)
1812: (x,y) = (-20.1538, 23.2584)
1813: (x,y) = (-0.3029, 25.6958)
1814: (x,y) = (3.51328, 45.3283)
1815: (x,y) = (-5.56653, 63.1485)
1816: (x,y) = (13.8394, 58.31)
1817: (x,y) = (32.6332, 51.4696)
1818: (x,y) = (15.1408, 41.7734)
1819: (x,y) = (6.68848, 23.6473)
1820: (x,y) = (5.99049, 3.65946)
1821: (x,y) = (15.9905, 20.98)
1822: (x,y) = (3.95419, 5.00726)
1823: (x,y) = (-7.80152, -11.1731)
1824: (x,y) = (-16.5689, -29.149)
1825: (x,y) = (-24.7037, -47.4199)
1826: (x,y) = (-44.509, -44.6364)
1827: (x,y) = (-33.3252, -61.2172)
1828: (x,y) = (-42.7146, -43.5582)
1829: (x,y) = (-49.226, -24.6478)
1830: (x,y) = (-43.0456, -43.669)
1831: (x,y) = (-63.0456, -43.669)
1832: (x,y) = (-43.9195, -37.8215)
1833: (x,y) = (-63.7249, -40.605)
1834: (x,y) = (-57.5446, -21.5839)
1835: (x,y) = (-38.6342, -15.0725)
1836: (x,y) = (-58.6311, -14.7235)
1837: (x,y) = (-78.619, -15.4214)
1838: (x,y) = (-76.1816, -35.2724)
1839: (x,y) = (-57.9107, -43.4071)
1840: (x,y) = (-38.0597, -40.9697)
1841: (x,y) = (-50.6461, -25.4268)
1842: (x,y) = (-62.4019, -41.6071)
1843: (x,y) = (-73.5857, -58.1879)
1844: (x,y) = (-67.7383, -39.0618)
1845: (x,y) = (-51.5579, -50.8175)
1846: (x,y) = (-47.3997, -31.2545)
1847: (x,y) = (-65.8098, -39.0692)
1848: (x,y) = (-79.9519, -53.2113)
1849: (x,y) = (-95.7121, -40.8981)
1850: (x,y) = (-84.8194, -57.6715)
1851: (x,y) = (-66.0255, -64.5119)
1852: (x,y) = (-85.5129, -60.0129)
1853: (x,y) = (-90.0119, -79.5003)
1854: (x,y) = (-105.555, -66.9139)
1855: (x,y) = (-99.0435, -85.8242)
1856: (x,y) = (-118.065, -92.0046)
1857: (x,y) = (-98.2593, -94.788)
1858: (x,y) = (-83.8725, -80.8949)
1859: (x,y) = (-95.9088, -96.8676)
1860: (x,y) = (-94.1657, -116.791)
1861: (x,y) = (-92.0751, -96.901)
1862: (x,y) = (-108.048, -84.8647)
1863: (x,y) = (-114.888, -103.659)
1864: (x,y) = (-122.38, -85.1149)
1865: (x,y) = (-142.377, -85.464)
1866: (x,y) = (-154.414, -101.437)
1867: (x,y) = (-172.389, -92.6692)
1868: (x,y) = (-164.897, -111.213)
1869: (x,y) = (-182.39, -101.517)
1870: (x,y) = (-162.417, -102.563)
1871: (x,y) = (-149.035, -117.426)
1872: (x,y) = (-161.89, -132.747)
1873: (x,y) = (-142.258, -128.931)
1874: (x,y) = (-147.77, -109.706)
1875: (x,y) = (-134.131, -95.0787)
1876: (x,y) = (-148.024, -109.466)
1877: (x,y) = (-155.516, -128.009)
1878: (x,y) = (-173.336, -137.089)
1879: (x,y) = (-168.16, -117.771)
1880: (x,y) = (-176.612, -99.6444)
1881: (x,y) = (-157.293, -104.821)
1882: (x,y) = (-137.661, -108.637)
1883: (x,y) = (-119.685, -117.404)
1884: (x,y) = (-101.559, -108.952)
1885: (x,y) = (-111.559, -91.6315)
1886: (x,y) = (-109.468, -111.522)
1887: (x,y) = (-129.465, -111.871)
1888: (x,y) = (-130.163, -91.8831)
1889: (x,y) = (-148.289, -83.4308)
1890: (x,y) = (-144.131, -63.8678)
1891: (x,y) = (-158.273, -49.7257)
1892: (x,y) = (-170.029, -65.906)
1893: (x,y) = (-151.903, -74.3584)
1894: (x,y) = (-139.59, -58.5982)
1895: (x,y) = (-124.727, -71.9808)
1896: (x,y) = (-126.122, -52.0295)
1897: (x,y) = (-141.882, -64.3427)
1898: (x,y) = (-148.393, -45.4324)
1899: (x,y) = (-163.02, -31.7924)
1900: (x,y) = (-147.26, -44.1056)
1901: (x,y) = (-160.116, -59.4265)
1902: (x,y) = (-179.812, -62.8995)
1903: (x,y) = (-181.903, -43.009)
1904: (x,y) = (-184.686, -62.8144)
1905: (x,y) = (-167.366, -72.8144)
1906: (x,y) = (-186.276, -79.3258)
1907: (x,y) = (-168.956, -89.3258)
1908: (x,y) = (-162.444, -108.236)
1909: (x,y) = (-162.793, -88.2392)
1910: (x,y) = (-182.684, -90.3297)
1911: (x,y) = (-201.909, -84.817)
1912: (x,y) = (-188.016, -70.4302)
1913: (x,y) = (-177.715, -53.2869)
1914: (x,y) = (-166.822, -36.5134)
1915: (x,y) = (-167.869, -56.486)
1916: (x,y) = (-147.896, -55.4393)
1917: (x,y) = (-160.21, -39.6791)
1918: (x,y) = (-179.773, -43.8373)
1919: (x,y) = (-193.155, -28.9744)
1920: (x,y) = (-207.782, -42.6144)
1921: (x,y) = (-224.165, -31.1429)
1922: (x,y) = (-236.752, -15.6)
1923: (x,y) = (-217.433, -20.7763)
1924: (x,y) = (-198.412, -14.596)
1925: (x,y) = (-178.488, -12.8529)
1926: (x,y) = (-159.17, -7.6765)
1927: (x,y) = (-144.075, -20.7977)
1928: (x,y) = (-129.212, -7.41507)
1929: (x,y) = (-119.212, -24.7356)
1930: (x,y) = (-101.392, -33.8154)
1931: (x,y) = (-113.148, -17.6351)
1932: (x,y) = (-98.521, -3.99508)
1933: (x,y) = (-103.02, -23.4825)
1934: (x,y) = (-117.162, -9.34035)
1935: (x,y) = (-101.619, -21.9268)
1936: (x,y) = (-107.132, -41.152)
1937: (x,y) = (-123.515, -29.6805)
1938: (x,y) = (-105.389, -21.2281)
1939: (x,y) = (-105.389, -41.2281)
1940: (x,y) = (-100.89, -21.7407)
1941: (x,y) = (-83.0697, -30.8205)
1942: (x,y) = (-77.2223, -49.9466)
1943: (x,y) = (-71.3748, -69.0727)
1944: (x,y) = (-91.2258, -66.6353)
1945: (x,y) = (-111.116, -64.5447)
1946: (x,y) = (-114.245, -84.2985)
1947: (x,y) = (-109.069, -64.98)
1948: (x,y) = (-122.19, -80.0742)
1949: (x,y) = (-139.51, -90.0742)
1950: (x,y) = (-121.239, -98.2089)
1951: (x,y) = (-125.738, -78.7215)
1952: (x,y) = (-128.522, -98.5269)
1953: (x,y) = (-133.698, -79.2084)
1954: (x,y) = (-134.396, -59.2205)
1955: (x,y) = (-114.399, -58.8715)
1956: (x,y) = (-102.086, -74.6317)
1957: (x,y) = (-121.782, -78.1047)
1958: (x,y) = (-136.169, -91.9978)
1959: (x,y) = (-133.385, -111.803)
1960: (x,y) = (-153.236, -109.366)
1961: (x,y) = (-142.638, -92.4049)
1962: (x,y) = (-156.78, -78.2627)
1963: (x,y) = (-176.671, -80.3533)
1964: (x,y) = (-179.108, -100.204)
1965: (x,y) = (-180.155, -120.177)
1966: (x,y) = (-166.772, -105.314)
1967: (x,y) = (-171.61, -124.72)
1968: (x,y) = (-187.371, -112.407)
1969: (x,y) = (-179.556, -130.817)
1970: (x,y) = (-195.736, -142.572)
1971: (x,y) = (-183.15, -127.029)
1972: (x,y) = (-173.761, -109.371)
1973: (x,y) = (-193.684, -107.627)
1974: (x,y) = (-188.172, -126.853)
1975: (x,y) = (-177.871, -143.996)
1976: (x,y) = (-166.115, -127.816)
1977: (x,y) = (-178.971, -112.495)
1978: (x,y) = (-163.428, -99.9083)
1979: (x,y) = (-150.842, -115.451)
1980: (x,y) = (-133.521, -105.451)
1981: (x,y) = (-144.993, -89.0682)
1982: (x,y) = (-128.812, -100.824)
1983: (x,y) = (-140.568, -84.6436)
1984: (x,y) = (-123.987, -73.4597)
1985: (x,y) = (-137.37, -58.5968)
1986: (x,y) = (-141.869, -78.0842)
1987: (x,y) = (-134.054, -96.4943)
